Name,1,2,3,4,5,6,7,8,9,10,11,12,Total
Saint Charles Borromeo Seminary-Overbrook,0,0,0,0,0,0,0,0,0,18,0,0,18
Susquehanna University,0,11,146,42,93,9,21,41,69,116,35,14,597
Swarthmore College,28,54,0,135,54,53,27,29,0,86,30,25,521
Talmudical Yeshiva of Philadelphia,0,0,0,0,0,0,0,0,0,18,0,0,18
Temple University,407,468,1881,356,526,69,85,545,737,722,613,194,6603
Thiel College,3,8,66,9,16,2,1,15,14,36,0,0,170
Thomas Jefferson University,42,19,186,0,111,0,2,0,28,105,76,0,569
Ursinus College,0,12,1,70,105,7,12,4,40,48,14,7,320
University of Valley Forge,0,0,17,0,0,0,0,14,12,7,3,0,53
Villanova University,411,106,1384,303,102,125,65,75,181,289,15,50,3106
Washington & Jefferson College,0,14,73,45,33,12,21,4,14,89,10,29,344
Waynesburg University,0,8,107,9,15,7,1,13,22,34,5,0,221
West Chester University of Pennsylvania,0,196,1241,126,138,66,49,682,116,681,144,29,3468
Widener University,125,20,221,6,32,1,8,85,11,125,3,1,638
Wilkes University,93,10,141,57,47,7,7,487,32,162,4,4,1051
Wilson College,0,0,9,1,7,2,1,140,4,13,15,0,192
Yeshivath Beth Moshe,0,0,0,0,0,0,0,0,0,1,0,0,1
York College of Pennsylvania,80,19,219,25,44,7,8,116,13,69,32,1,633
Brown University,264,412,103,526,324,231,156,78,29,452,115,55,2745
Bryant University,0,0,907,32,16,29,0,0,38,24,0,5,1051
Johnson & Wales University-Providence,27,36,391,9,8,0,0,61,28,37,0,0,597
New England Institute of Technology,148,114,42,0,0,0,0,0,0,0,60,0,364
Providence College,8,13,585,170,135,20,4,179,1,197,14,10,1336
Rhode Island College,0,44,199,64,33,9,5,238,43,220,77,8,940
University of Rhode Island,366,130,703,346,293,40,64,198,307,409,119,72,3047
Rhode Island School of Design,0,62,0,0,0,0,0,23,12,0,277,0,374
Roger Williams University,49,41,236,51,79,4,6,63,50,103,33,2,717
Salve Regina University,0,0,175,33,37,2,2,63,8,139,21,0,480
Northpoint Bible College,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen University,0,0,13,8,8,9,0,0,0,5,3,0,46
Charleston Southern University,0,14,225,22,53,6,0,100,18,63,14,6,521
Benedict College,18,8,54,4,30,0,0,9,18,33,11,0,185
Bob Jones University,18,19,89,5,14,3,3,102,30,57,62,3,405
Southern Wesleyan University,0,4,111,9,13,1,7,67,10,58,5,0,285
College of Charleston,0,94,527,220,285,29,79,167,180,324,159,66,2130
Citadel Military College of South Carolina,212,37,357,51,28,9,14,91,0,82,0,10,891
Claflin University,12,12,84,22,75,3,1,12,36,71,22,1,351
Clemson University,1741,278,1547,386,575,90,110,645,45,568,136,77,6198
Clinton College,0,0,5,0,0,0,0,3,0,5,0,0,13
Coker University,0,2,86,34,18,1,0,34,7,24,15,0,221
